contract_id,vendor_id,vendor_name,category,contract_start_date,contract_end_date,negotiated_rate,payment_terms,is_active_contract,expiration_status,contract_duration_years,total_estimated_savings,pos_on_contract,spend_on_contract,realized_savings,savings_realization_rate,savings_gap,realization_tier
C00001,V00362,"Smith, Robertson and Allen",MRO,2022-05-22,2025-05-21,0.156,Net 45,False,Expired,3.0,1157257.98,6,38134.23,7048.50695833029,0.006090696353,1150209.4730416697,Significant Shortfall
C00002,V00362,"Smith, Robertson and Allen",MRO,2022-06-21,2024-06-20,0.07,Net 60,False,Expired,2.0,663727.14,1,1970.67,148.32999959739,0.000223480389,663578.8100004026,Significant Shortfall
C00003,V00362,"Smith, Robertson and Allen",MRO,2024-03-08,2028-03-07,0.213,Net 30,True,Active,4.0,1837828.6,10,48709.01,13182.9975997503,0.007173137691,1824645.6024002498,Significant Shortfall
C00004,V00074,"Walters, Baker and Freeman",IT Services,2023-11-29,2025-11-28,0.165,Net 15,False,Expired,2.0,983011.34,3,33964.51,6711.5498660029,0.006827540632,976299.7901339971,Significant Shortfall
C00005,V00074,"Walters, Baker and Freeman",IT Services,2022-01-30,2025-01-29,0.237,Net 45,False,Expired,3.0,1487566.62,2,85349.15,26510.8107229085,0.017821595595,1461055.8092770914,Significant Shortfall
C00006,V00375,Glenn LLC,Raw Materials,2023-08-25,2027-08-24,0.114,Net 60,True,Active,4.0,1486686.0,10,201758.92,25959.95142109424,0.017461623652,1460726.0485789059,Significant Shortfall
C00007,V00156,Mcguire-Davis,Professional Services,2023-07-15,2025-07-14,0.191,Net 45,False,Expired,2.0,364648.5,1,56010.74,13223.79645694782,0.036264502547,351424.7035430522,Significant Shortfall
C00008,V00156,Mcguire-Davis,Professional Services,2024-05-02,2028-05-01,0.24,Net 15,True,Active,4.0,1679925.8,3,199707.11,63065.40322096014,0.037540588531,1616860.3967790399,Significant Shortfall
C00009,V00156,Mcguire-Davis,Professional Services,2024-03-20,2028-03-19,0.112,Net 30,True,Active,4.0,1001255.4,2,20948.5,2642.153150511,0.00263884035,998613.246849489,Significant Shortfall
C00010,V00105,Campbell Ltd,Professional Services,2022-08-08,2026-08-07,0.094,Net 30,False,Expired,4.0,1071839.08,10,230365.53,23901.05931599727,0.02229911165,1047938.0206840028,Significant Shortfall
