vendor_id,vendor_name,category,region,country,preferred_status,is_strategic,diversity_classification,risk_score,onboarded_date
V00001,"Rodriguez, Figueroa and Sanchez",Logistics,North America,Mexico,False,False,None,35,2018-11-02
V00002,Rhodes PLC,Logistics,North America,Mexico,True,False,None,24,2018-07-10
V00003,Johnson-Davis,Raw Materials,North America,Mexico,False,False,None,41,2019-05-25
V00004,"Johnson, Gonzalez and Santos",Professional Services,Asia Pacific,China,False,False,None,15,2021-04-08
V00005,Cole LLC,Professional Services,Europe,France,False,False,None,55,2022-11-08
V00006,Blake and Sons,Professional Services,Asia Pacific,China,False,False,None,11,2022-03-09
V00007,Ramirez-Lewis,Professional Services,Asia Pacific,Australia,False,False,Women-Owned,50,2022-07-31
V00008,Davis Inc,IT Services,Europe,France,False,False,Small Business,17,2020-02-26
V00009,Munoz-Roman,Professional Services,Latin America,Argentina,False,False,Minority-Owned,19,2022-05-18
V00010,"Martinez, Nielsen and Miller",Logistics,North America,Mexico,False,False,None,37,2019-10-05
V00011,"Montgomery, Hensley and Ray",Raw Materials,Asia Pacific,Australia,False,False,None,54,2022-03-24
V00012,Stanley LLC,IT Services,North America,Canada,True,False,None,8,2023-11-28
V00013,Delacruz Group,Raw Materials,Asia Pacific,India,False,False,None,35,2019-09-01
V00014,"Flowers, Martin and Kelly",Raw Materials,Asia Pacific,India,False,False,None,27,2022-01-07
V00015,"Zuniga, Wong and Lynch",Raw Materials,Latin America,Chile,False,False,None,13,2019-01-10
V00016,"Sanchez, Ford and Nelson",IT Services,North America,USA,False,False,None,35,2023-07-20
V00017,"Hawkins, Cohen and Cameron",Raw Materials,Latin America,Chile,False,False,None,13,2022-08-27
V00018,Underwood LLC,Raw Materials,North America,Mexico,False,False,None,32,2020-05-28
V00019,Clark PLC,Professional Services,Asia Pacific,China,False,True,None,16,2023-04-04
V00020,Lewis-Porter,MRO,Asia Pacific,Australia,False,False,None,20,2023-04-22
V00021,"Ellis, Baker and Wright",Logistics,Europe,UK,False,False,None,26,2021-05-14
V00022,Burgess-Patterson,Facilities,North America,Mexico,True,False,None,39,2021-07-01
V00023,Robinson-Bright,Capital Equipment,Asia Pacific,India,False,False,None,15,2021-01-20
V00024,Campos Inc,IT Services,Latin America,Brazil,False,False,Veteran-Owned,30,2018-12-01
V00025,Conner Group,Logistics,Europe,France,False,False,None,20,2021-07-30
V00026,James-Ferrell,Facilities,Europe,France,False,False,None,18,2021-03-04
V00027,"Valencia, Smith and Le",Capital Equipment,Latin America,Brazil,True,True,None,36,2022-02-01
V00028,"Potter, Mack and Peterson",Raw Materials,Europe,Germany,False,False,None,20,2019-10-05
V00029,Chavez Ltd,Capital Equipment,Asia Pacific,China,False,False,None,18,2023-04-03
V00030,Stanton-Gill,Raw Materials,Latin America,Brazil,False,False,Minority-Owned,28,2021-01-16
V00031,Harrell LLC,IT Services,Latin America,Chile,False,False,None,10,2023-01-18
V00032,"Lynch, Hernandez and Farmer",Logistics,North America,USA,False,False,None,20,2021-03-27
V00033,"Sellers, George and Burns",Professional Services,Europe,Italy,False,False,None,30,2018-09-02
V00034,Koch-Decker,Professional Services,North America,Canada,False,True,Minority-Owned,4,2019-11-05
V00035,Allen PLC,Logistics,North America,USA,False,False,Women-Owned,12,2023-09-05
V00036,Dennis Inc,Raw Materials,Europe,Netherlands,False,True,Women-Owned,21,2023-11-12
V00037,"Cannon, Anderson and Alvarez",Professional Services,Latin America,Chile,False,False,None,35,2021-04-19
V00038,Rose-Obrien,Raw Materials,Latin America,Brazil,False,True,None,65,2023-10-13
V00039,"Campos, Vaughn and Marquez",MRO,North America,Mexico,True,False,None,16,2020-05-23
V00040,"Santos, Kim and Holmes",Facilities,Europe,Germany,True,False,Veteran-Owned,6,2018-09-22
V00041,Brown Inc,Raw Materials,Europe,Netherlands,False,False,None,7,2021-07-12
V00042,Chapman Inc,Raw Materials,North America,Canada,False,False,None,17,2018-06-05
V00043,"Brown, Jones and Johnson",Professional Services,Asia Pacific,India,True,False,None,54,2019-12-25
V00044,"Young, Caldwell and Lewis",Raw Materials,North America,USA,False,False,None,6,2018-10-17
V00045,"Johnston, Sanchez and Kennedy",IT Services,Europe,Italy,False,False,None,23,2020-06-10
V00046,Davis Group,Capital Equipment,Asia Pacific,Japan,False,False,None,31,2020-02-15
V00047,Owens-Daniel,Logistics,North America,Mexico,False,False,Minority-Owned,15,2022-01-14
V00048,"Garcia, Powell and Morgan",Facilities,Europe,France,True,False,None,38,2023-03-03
V00049,Lee PLC,Professional Services,Europe,France,False,False,None,48,2020-09-09
V00050,White-Ford,Raw Materials,North America,USA,False,True,None,9,2023-03-31
V00051,Ramos PLC,Professional Services,Europe,France,False,False,None,36,2018-08-03
V00052,"Kidd, Huff and Novak",Raw Materials,North America,USA,False,False,Women-Owned,29,2023-07-22
V00053,Martin Group,IT Services,Asia Pacific,Australia,False,True,None,22,2020-11-20
V00054,Barrera-Martin,Professional Services,North America,Canada,False,False,None,16,2018-01-05
V00055,Baker-Bowers,Marketing,Latin America,Argentina,False,False,None,46,2020-09-23
